tag	tag_type	sequence	sequence_vector	uv
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->17173@ps->剑灵@ps->17173@ps	-3	44
平台词17173、游侠网、电玩巴士等	1	游侠@ps->游侠@video->游侠@ps->游侠@video	-3	43
平台词17173、游侠网、电玩巴士等	1	dnf17173@ps->dnf多玩@ps->dnf17173@ps->dnf多玩@ps	-3	40
平台词17173、游侠网、电玩巴士等	1	a@ps->b@ps->c@ps->d@ps	-3	38
平台词17173、游侠网、电玩巴士等	1	4399洛克王国@ps->4399小游戏@ps->4399洛克王国@ps->4399@ps	-3	37
平台词17173、游侠网、电玩巴士等	1	4399创世兵魂@ps->4399@ps->4399创世兵魂@ps->4399@ps	-3	36
平台词17173、游侠网、电玩巴士等	1	4399@ps->-@image->@image->4399@ps	-3	34
平台词17173、游侠网、电玩巴士等	1	7k7k@ps->4399@ps->7k7k@ps->4399@ps	-3	32
平台词17173、游侠网、电玩巴士等	1	4399小游戏@video->4399小游戏大全@video->4399小游戏@video->4399@video	-3	31
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->剑灵@image->剑灵@ps->17173@ps	-3	31
平台词17173、游侠网、电玩巴士等	1	刀剑2@ps->刀剑2@video->刀剑2@ps->17173@ps	-3	30
平台词17173、游侠网、电玩巴士等	1	游侠@video->游侠@ps->游侠@video->游侠@ps	-3	29
平台词17173、游侠网、电玩巴士等	1	4399@ps->@image->-@image->4399@ps	-3	29
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->剑灵@video->剑灵@ps->17173@ps	-3	29
平台词17173、游侠网、电玩巴士等	1	dnf@ps->dnf多玩@ps->dnf@ps->dnf多玩@ps	-3	29
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399洛克王国@ps->4399小游戏@ps->4399@ps	-3	28
平台词17173、游侠网、电玩巴士等	1	4399@ps->神兵传奇之无敌幸运版@ps->神兵传奇无敌幸运版@ps->4399@ps	-3	28
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399@ps->4399洛克王国@ps->4399@ps	-3	25
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->多玩@ps->剑灵@ps->多玩@ps	-3	25
平台词17173、游侠网、电玩巴士等	1	7k7k小游戏@ps->4399小游戏@ps->7k7k小游戏@ps->4399@ps	-3	23
平台词17173、游侠网、电玩巴士等	1	爸爸去哪儿@ps->爸爸去哪儿@video->爸爸去哪儿@ps->4399@ps	-3	23
平台词17173、游侠网、电玩巴士等	1	17173@video->17173@ps->17173@video->17173@ps	-3	23
平台词17173、游侠网、电玩巴士等	1	439@ps->4399@ps->439@ps->4399@ps	-3	23
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399@ps->4399@video->4399@ps	-3	22
平台词17173、游侠网、电玩巴士等	1	5173@ps->17173@ps->5173@ps->17173@ps	-3	22
平台词17173、游侠网、电玩巴士等	1	4399洛克王国@ps->4399@ps->4399小游戏@ps->4399@ps	-3	21
平台词17173、游侠网、电玩巴士等	1	3dm@ps->游民星空@ps->3dm@ps->游侠网@ps	-3	21
平台词17173、游侠网、电玩巴士等	1	4399小游戏大全@iknow->4399小游戏@iknow->4399@iknow->4399@ps	-3	21
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->剑灵激活码@ps->剑灵@ps->17173@ps	-3	21
平台词17173、游侠网、电玩巴士等	1	7k7k小游戏@ps->4399@ps->4399小游戏@ps->4399@ps	-3	20
平台词17173、游侠网、电玩巴士等	1	4399赛尔号@ps->4399@ps->4399赛尔号@ps->4399@ps	-3	19
平台词17173、游侠网、电玩巴士等	1	3dm@ps->游侠网@ps->3dm@ps->游侠网@ps	-3	19
平台词17173、游侠网、电玩巴士等	1	4399小游戏大全@ps->4399小游戏@ps->4399小游戏大全@ps->4399@ps	-3	19
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399@ps->7k7k小游戏@ps->4399@ps	-3	18
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@image->4399@ps->4399@image	-3	18
平台词17173、游侠网、电玩巴士等	1	17173@ps->剑灵@ps->剑灵@image->17173@ps	-3	18
平台词17173、游侠网、电玩巴士等	1	dnf@ps->dnf17173@ps->dnf@ps->dnf多玩@ps	-3	18
平台词17173、游侠网、电玩巴士等	1	4399@video->4399@ps->@video->4399@ps	-3	18
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399创世兵魂@ps->4399小游戏@ps->4399@ps	-3	18
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399小游戏@ps->4399小游戏大全@ps->4399@ps	-3	18
平台词17173、游侠网、电玩巴士等	1	qq空间@ps->4399@ps->qq空间@ps->4399@ps	-3	17
平台词17173、游侠网、电玩巴士等	1	4399@image->4399@ps->4399@image->4399@ps	-3	17
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->剑灵@video->剑灵@ps->多玩@ps	-3	17
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399小游戏@ps->7k7k小游戏@ps->4399@ps	-3	17
平台词17173、游侠网、电玩巴士等	1	-@image->@image->-@image->4399@ps	-3	16
平台词17173、游侠网、电玩巴士等	1	-@image->4399@ps->4399@image->4399@ps	-3	16
平台词17173、游侠网、电玩巴士等	1	4399奥拉星@ps->4399@ps->4399奥拉星@ps->4399@ps	-3	16
平台词17173、游侠网、电玩巴士等	1	qq空间@ps->qq@ps->qq空间@ps->4399@ps	-3	16
平台词17173、游侠网、电玩巴士等	1	4399小游戏大全@ps->4399@ps->4399小游戏@ps->4399@ps	-3	16
平台词17173、游侠网、电玩巴士等	1	4399造梦西游3@ps->4399小游戏@ps->4399造梦西游3@ps->4399@ps	-3	16
平台词17173、游侠网、电玩巴士等	1	7k7k小游戏@ps->4399@ps->7k7k小游戏@ps->4399@ps	-3	16
平台词17173、游侠网、电玩巴士等	1	17173@ps->17173@video->17173@ps->17173@video	-3	16
平台词17173、游侠网、电玩巴士等	1	游民星空@ps->游侠网@ps->3dm@ps->游侠网@ps	-3	15
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@news->4399@ps->4399@news	-3	15
平台词17173、游侠网、电玩巴士等	1	多玩@ps->17173@ps->多玩@ps->17173@ps	-3	15
平台词17173、游侠网、电玩巴士等	1	多玩@video->多玩@ps->多玩@video->多玩@ps	-3	15
平台词17173、游侠网、电玩巴士等	1	3dm@ps->游侠网@ps->游民星空@ps->游侠网@ps	-3	15
平台词17173、游侠网、电玩巴士等	1	藏地传奇@ps->藏地传奇@video->藏地传奇@ps->17173@ps	-3	15
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399小游戏@ps->4399洛克王国@ps->4399@ps	-3	15
平台词17173、游侠网、电玩巴士等	1	17173@ps->多玩@ps->17173@ps->多玩@ps	-3	14
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399@ps->神兵传奇之无敌幸运版@ps->4399@ps	-3	14
平台词17173、游侠网、电玩巴士等	1	17173@ps->剑灵@ps->淘宝@ps->17173@ps	-3	14
平台词17173、游侠网、电玩巴士等	1	4399造梦西游3@ps->4399@ps->4399造梦西游3@ps->4399@ps	-3	14
平台词17173、游侠网、电玩巴士等	1	游侠网@iknow->游侠网@ps->游侠网@iknow->游侠网@ps	-3	14
平台词17173、游侠网、电玩巴士等	1	4399@video->4399小游戏@video->4399小游戏大全@video->4399@video	-3	14
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->淘宝@ps->剑灵@ps->17173@ps	-3	14
平台词17173、游侠网、电玩巴士等	1	4399@ps->qq@ps->qq空间@ps->4399@ps	-3	14
平台词17173、游侠网、电玩巴士等	1	qq@ps->4399@ps->qq@ps->4399@ps	-3	14
平台词17173、游侠网、电玩巴士等	1	龙剑@ps->龙剑@image->龙剑@ps->17173@ps	-3	13
平台词17173、游侠网、电玩巴士等	1	4399小游戏@video->4399小游戏大全@video->4399小游戏大全双人@video->4399@video	-3	13
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399小游戏@video->4399小游戏@ps->4399@ps	-3	13
平台词17173、游侠网、电玩巴士等	1	游侠网@ps->游民星空@ps->3dm@ps->游侠网@ps	-3	13
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399创世兵魂@ps->4399小游戏@ps->4399@ps	-3	13
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399@ps->4399小游戏大全@ps->4399@ps	-3	13
平台词17173、游侠网、电玩巴士等	1	qq空间@ps->4399小游戏@ps->qq空间@ps->4399@ps	-3	12
平台词17173、游侠网、电玩巴士等	1	7k7k小游戏@ps->4399小游戏@ps->4399小游戏大全@ps->4399@ps	-3	12
平台词17173、游侠网、电玩巴士等	1	4399小游戏@video->4399小游戏大全@video->4399@video->4399@ps	-3	12
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->5173@ps->剑灵@ps->17173@ps	-3	12
平台词17173、游侠网、电玩巴士等	1	4399创世兵魂@ps->4399小游戏@ps->4399创世兵魂@ps->4399@ps	-3	12
平台词17173、游侠网、电玩巴士等	1	-@image->4399@ps->-@image->4399@ps	-3	12
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@image->4399@ps->4399@video	-3	12
平台词17173、游侠网、电玩巴士等	1	3dm@ps->游侠@ps->3dm@ps->游侠@ps	-3	12
平台词17173、游侠网、电玩巴士等	1	4399@ps->神兵传奇之无敌幸运版@ps->神兵传奇无敌版@ps->4399@ps	-3	12
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399小游戏大全@ps->4399小游戏@ps->4399@ps	-3	12
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399@ps->7k7k@ps->4399@ps	-3	12
平台词17173、游侠网、电玩巴士等	1	4399@ps->7k7k小游戏@ps->7k7k@ps->4399@ps	-3	11
平台词17173、游侠网、电玩巴士等	1	斗战神@ps->斗战神@video->斗战神@ps->17173@ps	-3	11
平台词17173、游侠网、电玩巴士等	1	-@image->4399@ps->4399@video->4399@ps	-3	11
平台词17173、游侠网、电玩巴士等	1	4399小游戏大全@ps->4399小游戏@ps->7k7k小游戏@ps->4399@ps	-3	11
平台词17173、游侠网、电玩巴士等	1	火影忍者@ps->火影忍者@video->火影忍者@ps->4399@ps	-3	11
平台词17173、游侠网、电玩巴士等	1	qq头像@ps->qq头像@image->qq头像@ps->4399@ps	-3	11
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399小游戏@ps->4399@ps	-2	1241
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@video->4399@ps	-2	947
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399洛克王国@ps->4399@ps	-2	732
平台词17173、游侠网、电玩巴士等	1	4399@ps->7k7k@ps->4399@ps	-2	522
平台词17173、游侠网、电玩巴士等	1	游侠网@ps->游民星空@ps->游侠网@ps	-2	485
平台词17173、游侠网、电玩巴士等	1	游侠@ps->游侠@video->游侠@ps	-2	480
平台词17173、游侠网、电玩巴士等	1	17173@ps->剑灵@ps->17173@ps	-2	478
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399洛克王国@ps->4399@ps	-2	457
平台词17173、游侠网、电玩巴士等	1	17173@ps->17173@video->17173@ps	-2	452
平台词17173、游侠网、电玩巴士等	1	4399洛克王国@ps->4399小游戏@ps->4399@ps	-2	444
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->7k7k小游戏@ps->4399@ps	-2	350
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399小游戏大全@ps->4399@ps	-2	338
平台词17173、游侠网、电玩巴士等	1	4399@ps->439@ps->4399@ps	-2	338
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399创世兵魂@ps->4399@ps	-2	331
平台词17173、游侠网、电玩巴士等	1	17173@ps->5173@ps->17173@ps	-2	314
平台词17173、游侠网、电玩巴士等	1	dnf官网@ps->dnf17173@ps->dnf多玩@ps	-2	313
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->剑灵@image->17173@ps	-2	310
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@image->4399@ps	-2	308
平台词17173、游侠网、电玩巴士等	1	7k7k小游戏@ps->4399小游戏@ps->4399@ps	-2	305
平台词17173、游侠网、电玩巴士等	1	17173@ps->多玩@ps->17173@ps	-2	300
平台词17173、游侠网、电玩巴士等	1	4399@ps->@video->4399@ps	-2	289
平台词17173、游侠网、电玩巴士等	1	dnf@ps->dnf17173@ps->dnf多玩@ps	-2	279
平台词17173、游侠网、电玩巴士等	1	4399@ps->7k7k小游戏@ps->4399@ps	-2	265
平台词17173、游侠网、电玩巴士等	1	爸爸去哪儿@ps->爸爸去哪儿@video->4399@ps	-2	255
平台词17173、游侠网、电玩巴士等	1	4399小游戏大全@ps->4399小游戏@ps->4399@ps	-2	251
平台词17173、游侠网、电玩巴士等	1	dnf多玩@ps->dnf17173@ps->dnf多玩@ps	-2	226
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399造梦西游3@ps->4399@ps	-2	213
平台词17173、游侠网、电玩巴士等	1	游民星空@ps->3dm@ps->游侠网@ps	-2	207
平台词17173、游侠网、电玩巴士等	1	多玩@ps->17173@ps->多玩@ps	-2	204
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@news->4399@ps	-2	200
平台词17173、游侠网、电玩巴士等	1	多玩@ps->多玩@video->多玩@ps	-2	199
平台词17173、游侠网、电玩巴士等	1	4399@ps->3366@ps->4399@ps	-2	189
平台词17173、游侠网、电玩巴士等	1	17173@ps->龙剑@ps->17173@ps	-2	189
平台词17173、游侠网、电玩巴士等	1	4399@video->4399@ps->4399@video	-2	188
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399创世兵魂@ps->4399@ps	-2	186
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399造梦西游3@ps->4399@ps	-2	185
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399赛尔号@ps->4399@ps	-2	181
平台词17173、游侠网、电玩巴士等	1	3dm@ps->游民星空@ps->游侠网@ps	-2	180
平台词17173、游侠网、电玩巴士等	1	4399@ps->qq空间@ps->4399@ps	-2	177
平台词17173、游侠网、电玩巴士等	1	@video->4399@video->4399@ps	-2	174
平台词17173、游侠网、电玩巴士等	1	多玩@ps->剑灵@ps->多玩@ps	-2	168
平台词17173、游侠网、电玩巴士等	1	4399小游戏@video->4399小游戏大全@video->4399@video	-2	163
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399小游戏大全@ps->4399@ps	-2	160
平台词17173、游侠网、电玩巴士等	1	4399@ps->神兵传奇无敌幸运版@ps->4399@ps	-2	159
平台词17173、游侠网、电玩巴士等	1	电玩巴士@ps->电玩巴士@video->电玩巴士@ps	-2	150
平台词17173、游侠网、电玩巴士等	1	qq@ps->qq空间@ps->4399@ps	-2	147
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->17173@ps->多玩@ps	-2	145
平台词17173、游侠网、电玩巴士等	1	游侠网@ps->3dm@ps->游侠网@ps	-2	145
平台词17173、游侠网、电玩巴士等	1	4399@ps->cf@ps->4399@ps	-2	145
平台词17173、游侠网、电玩巴士等	1	4399创世兵魂@ps->4399小游戏@ps->4399@ps	-2	145
平台词17173、游侠网、电玩巴士等	1	qq头像@ps->qq头像@image->4399@ps	-2	144
平台词17173、游侠网、电玩巴士等	1	4399@ps->-@image->4399@ps	-2	144
平台词17173、游侠网、电玩巴士等	1	17173@ps->游民星空@ps->17173@ps	-2	143
平台词17173、游侠网、电玩巴士等	1	多玩@ps->多玩盒子@ps->多玩@ps	-2	143
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->淘宝@ps->17173@ps	-2	142
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->剑灵激活码@ps->17173@ps	-2	141
平台词17173、游侠网、电玩巴士等	1	4399小游戏大全@iknow->4399小游戏@iknow->4399@iknow	-2	140
平台词17173、游侠网、电玩巴士等	1	17173@ps->淘宝@ps->17173@ps	-2	138
平台词17173、游侠网、电玩巴士等	1	游侠网@ps->游侠网@video->游侠网@ps	-2	138
平台词17173、游侠网、电玩巴士等	1	4399小游戏大全@video->4399小游戏@video->4399@video	-2	138
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399奥比岛@ps->4399@ps	-2	137
平台词17173、游侠网、电玩巴士等	1	4399@ps->神兵传奇之无敌幸运版@ps->4399@ps	-2	129
平台词17173、游侠网、电玩巴士等	1	4399造梦西游3@ps->4399小游戏@ps->4399@ps	-2	128
平台词17173、游侠网、电玩巴士等	1	4399@ps->qq@ps->4399@ps	-2	126
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->剑灵@image->多玩@ps	-2	124
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399奥拉星@ps->4399@ps	-2	123
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->5173@ps->17173@ps	-2	117
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->多玩@ps->17173@ps	-2	113
平台词17173、游侠网、电玩巴士等	1	龙剑@ps->龙剑@image->17173@ps	-2	113
平台词17173、游侠网、电玩巴士等	1	@image->-@image->4399@ps	-2	111
平台词17173、游侠网、电玩巴士等	1	17173@ps->17173.com@ps->17173@ps	-2	110
平台词17173、游侠网、电玩巴士等	1	4399@ps->43999@ps->4399@ps	-2	108
平台词17173、游侠网、电玩巴士等	1	4399赛尔号@ps->4399小游戏@ps->4399@ps	-2	108
平台词17173、游侠网、电玩巴士等	1	dnf多玩@ps->dnf@ps->dnf多玩@ps	-2	106
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399赛尔号@ps->4399@ps	-2	105
平台词17173、游侠网、电玩巴士等	1	多玩@ps->多玩lol@ps->多玩@ps	-2	105
平台词17173、游侠网、电玩巴士等	1	@video->17173@video->17173@ps	-2	105
平台词17173、游侠网、电玩巴士等	1	17173@ps->@video->17173@ps	-2	104
平台词17173、游侠网、电玩巴士等	1	游民星空@ps->3dm@ps->游侠@ps	-2	102
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@iknow->4399@ps	-2	102
平台词17173、游侠网、电玩巴士等	1	dnf17173@ps->dnf官网@ps->dnf多玩@ps	-2	99
平台词17173、游侠网、电玩巴士等	1	17173@ps->17173@image->17173@ps	-2	98
平台词17173、游侠网、电玩巴士等	1	淘宝@ps->剑灵@ps->17173@ps	-2	96
平台词17173、游侠网、电玩巴士等	1	4399@ps->lol@ps->4399@ps	-2	95
平台词17173、游侠网、电玩巴士等	1	17173@ps->dnf@ps->17173@ps	-2	94
平台词17173、游侠网、电玩巴士等	1	快乐大本营@ps->快乐大本营@video->4399@ps	-2	93
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->7k7k@ps->4399@ps	-2	93
平台词17173、游侠网、电玩巴士等	1	7k7k小游戏@ps->7k7k@ps->4399@ps	-2	91
平台词17173、游侠网、电玩巴士等	1	4399洛克王国@ps->4399造梦西游3@ps->4399@ps	-2	90
平台词17173、游侠网、电玩巴士等	1	剑灵激活码@ps->剑灵@ps->17173@ps	-2	89
平台词17173、游侠网、电玩巴士等	1	d@map->-@map->d@map	-2	89
平台词17173、游侠网、电玩巴士等	1	dnf多玩@ps->dnf官网@ps->dnf多玩@ps	-2	89
平台词17173、游侠网、电玩巴士等	1	17173@ps->剑灵@ps->多玩@ps	-2	89
平台词17173、游侠网、电玩巴士等	1	-@image->@image->4399@ps	-2	89
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->qq空间@ps->4399@ps	-2	87
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->439@ps->4399@ps	-2	86
平台词17173、游侠网、电玩巴士等	1	-@image->4399小游戏@ps->4399@ps	-2	86
平台词17173、游侠网、电玩巴士等	1	17173@ps->剑灵官网@ps->17173@ps	-2	86
平台词17173、游侠网、电玩巴士等	1	4399@ps->4@ps->4399@ps	-2	85
平台词17173、游侠网、电玩巴士等	1	17173@ps->炉石传说@ps->17173@ps	-2	85
平台词17173、游侠网、电玩巴士等	1	4399小游戏@ps->4399@ps	-1	23273
平台词17173、游侠网、电玩巴士等	1	游民星空@ps->游侠网@ps	-1	9646
平台词17173、游侠网、电玩巴士等	1	4399洛克王国@ps->4399@ps	-1	8852
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->17173@ps	-1	8022
平台词17173、游侠网、电玩巴士等	1	439@ps->4399@ps	-1	6104
平台词17173、游侠网、电玩巴士等	1	4399@video->4399@ps	-1	5991
平台词17173、游侠网、电玩巴士等	1	17173@ps->多玩@ps	-1	5682
平台词17173、游侠网、电玩巴士等	1	5173@ps->17173@ps	-1	5020
平台词17173、游侠网、电玩巴士等	1	dnf@ps->dnf多玩@ps	-1	4705
平台词17173、游侠网、电玩巴士等	1	dnf17173@ps->dnf多玩@ps	-1	4585
平台词17173、游侠网、电玩巴士等	1	7k7k@ps->4399@ps	-1	4289
平台词17173、游侠网、电玩巴士等	1	多玩@ps->17173@ps	-1	4278
平台词17173、游侠网、电玩巴士等	1	7k7k小游戏@ps->4399@ps	-1	3630
平台词17173、游侠网、电玩巴士等	1	4399创世兵魂@ps->4399@ps	-1	3569
平台词17173、游侠网、电玩巴士等	1	4399造梦西游3@ps->4399@ps	-1	3501
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->多玩@ps	-1	3441
平台词17173、游侠网、电玩巴士等	1	游民星空@ps->17173@ps	-1	3389
平台词17173、游侠网、电玩巴士等	1	-@image->4399@ps	-1	3367
平台词17173、游侠网、电玩巴士等	1	3dm@ps->游侠网@ps	-1	3073
平台词17173、游侠网、电玩巴士等	1	qq空间@ps->4399@ps	-1	2942
平台词17173、游侠网、电玩巴士等	1	dnf官网@ps->dnf多玩@ps	-1	2743
平台词17173、游侠网、电玩巴士等	1	4399赛尔号@ps->4399@ps	-1	2575
平台词17173、游侠网、电玩巴士等	1	4399@ps->4399@video	-1	2568
平台词17173、游侠网、电玩巴士等	1	淘宝@ps->17173@ps	-1	2496
平台词17173、游侠网、电玩巴士等	1	17173@video->17173@ps	-1	2406
平台词17173、游侠网、电玩巴士等	1	3dm@ps->游侠@ps	-1	2373
平台词17173、游侠网、电玩巴士等	1	cf@ps->4399@ps	-1	2363
平台词17173、游侠网、电玩巴士等	1	dnf@ps->17173@ps	-1	2277
平台词17173、游侠网、电玩巴士等	1	4399小游戏大全@ps->4399@ps	-1	2241
平台词17173、游侠网、电玩巴士等	1	多玩lol@ps->多玩@ps	-1	2170
平台词17173、游侠网、电玩巴士等	1	17173@ps->17173.com@ps	-1	2081
平台词17173、游侠网、电玩巴士等	1	3366@ps->4399@ps	-1	2065
平台词17173、游侠网、电玩巴士等	1	qq@ps->4399@ps	-1	2031
平台词17173、游侠网、电玩巴士等	1	178@ps->17173@ps	-1	2028
平台词17173、游侠网、电玩巴士等	1	178@ps->多玩@ps	-1	2015
平台词17173、游侠网、电玩巴士等	1	淘宝@ps->4399@ps	-1	1918
平台词17173、游侠网、电玩巴士等	1	游侠网@iknow->游侠网@ps	-1	1905
平台词17173、游侠网、电玩巴士等	1	龙剑@ps->17173@ps	-1	1864
平台词17173、游侠网、电玩巴士等	1	多玩盒子@ps->多玩@ps	-1	1812
平台词17173、游侠网、电玩巴士等	1	4399奥拉星@ps->4399@ps	-1	1783
平台词17173、游侠网、电玩巴士等	1	17173.com@ps->17173@ps	-1	1766
平台词17173、游侠网、电玩巴士等	1	游民星空@ps->电玩巴士@ps	-1	1759
平台词17173、游侠网、电玩巴士等	1	火影忍者@ps->4399@ps	-1	1748
平台词17173、游侠网、电玩巴士等	1	lol@ps->4399@ps	-1	1701
平台词17173、游侠网、电玩巴士等	1	游民星空@ps->游侠@ps	-1	1652
平台词17173、游侠网、电玩巴士等	1	43999@ps->4399@ps	-1	1633
平台词17173、游侠网、电玩巴士等	1	lol@ps->17173@ps	-1	1623
平台词17173、游侠网、电玩巴士等	1	4399@iknow->4399@ps	-1	1593
平台词17173、游侠网、电玩巴士等	1	斗战神@ps->17173@ps	-1	1545
平台词17173、游侠网、电玩巴士等	1	剑灵官网@ps->17173@ps	-1	1528
平台词17173、游侠网、电玩巴士等	1	cf官网@ps->4399@ps	-1	1519
平台词17173、游侠网、电玩巴士等	1	洛克王国@ps->4399@ps	-1	1490
平台词17173、游侠网、电玩巴士等	1	电玩巴士@ps->多玩@ps	-1	1487
平台词17173、游侠网、电玩巴士等	1	4@ps->4399@ps	-1	1454
平台词17173、游侠网、电玩巴士等	1	多玩@ps->电玩巴士@ps	-1	1404
平台词17173、游侠网、电玩巴士等	1	游侠@ps->游侠@video	-1	1349
平台词17173、游侠网、电玩巴士等	1	炉石传说@ps->17173@ps	-1	1339
平台词17173、游侠网、电玩巴士等	1	lol@ps->多玩@ps	-1	1317
平台词17173、游侠网、电玩巴士等	1	游民星空@ps->多玩@ps	-1	1293
平台词17173、游侠网、电玩巴士等	1	游戏@ps->游侠网@ps	-1	1282
平台词17173、游侠网、电玩巴士等	1	17173@iknow->17173@ps	-1	1218
平台词17173、游侠网、电玩巴士等	1	lol盒子@ps->多玩@ps	-1	1188
平台词17173、游侠网、电玩巴士等	1	4399小游戏@video->4399@video	-1	1178
平台词17173、游侠网、电玩巴士等	1	17173@ps->17173@video	-1	1177
平台词17173、游侠网、电玩巴士等	1	多玩@video->多玩@ps	-1	1141
平台词17173、游侠网、电玩巴士等	1	剑灵@ps->17173.com@ps	-1	1132
平台词17173、游侠网、电玩巴士等	1	赛尔号@ps->4399@ps	-1	1123
平台词17173、游侠网、电玩巴士等	1	@video->4399@ps	-1	1112
平台词17173、游侠网、电玩巴士等	1	淘宝@ps->多玩@ps	-1	1082
平台词17173、游侠网、电玩巴士等	1	游民@ps->游侠@ps	-1	1046
平台词17173、游侠网、电玩巴士等	1	终极一班3@ps->4399@ps	-1	1028
平台词17173、游侠网、电玩巴士等	1	优酷@ps->17173@ps	-1	1007
